pipeline_name	version	dataset_name	reference_id	site_id	subject_id	sample_id_from_lab	isolate_number_from_lab	sequence_replicate_numbers	pipeline_directory
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961610	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/12/41712/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961608	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/13/41713/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961609	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/14/41714/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961584	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/15/41715/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961583	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/16/41716/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961582	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/17/41717/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961581	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/18/41718/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961587	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/19/41719/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961586	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/20/41720/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961585	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/21/41721/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961579	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/22/41722/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961640	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/23/41723/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.11	3	ENA	SAMEA961641	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/04/17/24/41724/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.1	3	ENA	SAMEA961668	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/00/47/31/4731/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.1	3	ENA	SAMEA961669	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/00/47/32/4732/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.1	3	ENA	SAMEA961675	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/00/47/38/4738/Pipelines/1/variant_call/0.8.3.ref.3
variant_call	0.8.3	ENA.1	3	ENA	SAMEA961674	1	1	1	/nfs/leia/research/iqbal/mhunt/Clockwork_ena_tb/Pipeline_root/00/00/47/37/4737/Pipelines/1/variant_call/0.8.3.ref.3
